order,sub_no,cond,trial,id,p,x,q,y,choice
0,0,0,0,120,2,500,10,300,1
0,0,0,1,28,2,300,50,100,1
0,0,0,2,17,1,300,5,100,1
0,0,0,3,109,1,500,50,400,1
0,0,0,4,18,1,300,10,100,1
0,0,0,5,39,5,300,99,200,1
0,0,0,6,50,1,400,99,100,1
0,0,0,7,48,1,400,10,100,1
0,0,0,8,108,1,500,10,400,1
0,0,0,9,167,1,300,1,100,0
0,0,0,10,164,99,500,1,400,0
0,0,0,11,155,99,500,99,300,0
0,0,0,12,64,2,400,99,100,1
0,0,0,13,101,1,500,2,300,0
0,0,0,14,70,2,400,10,300,1
0,0,0,15,150,50,500,99,400,0
0,0,0,16,65,2,400,5,200,1
0,0,0,17,69,2,400,5,300,1
0,0,0,18,147,50,500,99,100,0
0,0,0,19,77,5,400,50,200,1
0,0,0,20,74,5,400,50,100,1
0,0,0,21,139,10,500,50,100,1
0,0,0,22,66,2,400,10,200,1
0,0,0,23,110,1,500,99,400,1
0,0,0,24,98,1,500,10,200,1
0,0,0,25,29,2,300,99,100,1
0,0,0,26,81,5,400,99,300,1
0,0,0,27,176,1,400,1,300,0
0,0,0,28,106,1,500,2,400,1
0,0,0,29,15,50,200,99,100,1
0,0,0,30,43,10,300,99,200,1
0,0,0,31,40,10,300,50,100,1
0,0,0,32,117,2,500,50,200,1
0,0,0,33,132,5,500,99,200,1
0,0,0,34,103,1,500,10,300,0
0,0,0,35,36,5,300,99,100,1
0,0,0,36,124,2,500,10,400,1
0,0,0,37,171,50,300,10,100,0
0,0,0,38,97,1,500,5,200,0
0,0,0,39,61,2,400,5,100,1
0,0,0,40,53,1,400,10,200,1
0,0,0,41,75,5,400,99,100,1
0,0,0,42,9,2,200,99,100,1
0,0,0,43,143,10,500,50,300,1
0,0,0,44,135,5,500,99,300,1
0,0,0,45,60,1,400,99,300,1
0,0,0,46,32,2,300,50,200,1
0,0,0,47,146,10,500,99,400,1
0,0,0,48,126,2,500,99,400,1
0,0,0,49,158,5,400,5,200,0
0,0,0,50,54,1,400,50,200,1
0,0,0,51,118,2,500,99,200,1
0,0,0,52,33,2,300,99,200,1
0,0,0,53,121,2,500,50,300,1
0,0,0,54,20,1,300,99,100,1
0,0,0,55,56,1,400,2,300,0
0,0,0,56,138,5,500,99,400,1
0,0,0,57,72,2,400,99,300,1
0,0,0,58,148,50,500,99,200,1
0,0,0,59,136,5,500,10,400,1
0,0,0,60,83,10,400,99,100,1
0,0,0,61,87,10,400,99,300,1
0,0,0,62,73,5,400,10,100,1
0,0,0,63,178,50,200,1,100,0
0,0,0,64,1,1,200,2,100,1
0,0,0,65,10,5,200,10,100,1
0,0,0,66,163,2,400,1,100,0
0,0,0,67,24,1,300,50,200,1
0,0,0,68,41,10,300,99,100,1
0,0,0,69,153,50,200,10,100,0
0,0,0,70,179,10,500,5,400,0
0,0,0,71,137,5,500,50,400,1
0,0,0,72,159,99,300,50,200,1
0,0,0,73,145,10,500,50,400,1
0,0,0,74,82,10,400,50,100,1
0,0,0,75,160,50,500,2,100,0
0,0,0,76,93,1,500,10,100,1
0,0,0,77,45,50,300,99,200,1
0,0,0,78,100,1,500,99,200,1
0,0,0,79,115,2,500,5,200,0
0,0,0,80,42,10,300,50,200,1
0,0,0,81,31,2,300,10,200,1
0,0,0,82,90,50,400,99,300,1
0,0,0,83,95,1,500,99,100,1
0,0,0,84,89,50,400,99,200,1
0,0,0,85,58,1,400,10,300,1
0,0,0,86,5,1,200,99,100,1
0,0,0,87,38,5,300,50,200,1
0,0,0,88,11,5,200,50,100,1
0,0,0,89,8,2,200,50,100,1
0,0,0,90,131,5,500,50,200,1
0,0,0,91,67,2,400,50,200,1
0,0,0,92,154,99,300,1,100,0
0,0,0,93,44,50,300,99,100,1
0,0,0,94,144,10,500,99,300,1
0,0,0,95,46,1,400,2,100,1
0,0,0,96,152,50,400,50,100,0
0,0,0,97,55,1,400,99,200,1
0,0,0,98,2,1,200,5,100,1
0,0,0,99,134,5,500,50,300,0
0,0,0,100,169,99,500,10,100,0
0,0,0,101,7,2,200,10,100,1
0,0,0,102,130,5,500,10,200,1
0,0,0,103,175,5,200,1,100,0
0,0,0,104,113,2,500,50,100,1
0,0,0,105,168,5,200,1,200,0
0,0,0,106,112,2,500,10,100,1
0,0,0,107,105,1,500,99,300,1
0,0,0,108,59,1,400,50,300,1
0,0,0,109,170,50,400,2,300,0
0,0,0,110,14,10,200,99,100,1
0,0,0,111,30,2,300,5,200,1
0,0,0,112,92,1,500,5,100,0
0,0,0,113,94,1,500,50,100,1
0,0,0,114,161,1,400,1,200,0
0,0,0,115,114,2,500,99,100,1
0,0,0,116,140,10,500,99,100,1
0,0,0,117,16,1,300,2,100,0
0,0,0,118,13,10,200,50,100,1
0,0,0,119,78,5,400,99,200,1
0,0,0,120,6,2,200,5,100,1
0,0,0,121,149,50,500,99,300,1
0,0,0,122,49,1,400,50,100,1
